accref,mime,accsize,centerAlpha,centerDelta,imageTitle,instId,dateObs,nAxes,pixelSize,pixelScale,refFrame,wcs_equinox,wcs_projection,wcs_refPixel,wcs_refValues,wcs_cdmatrix,bandpassId,bandpassUnit,bandpassRefval,bandpassHi,bandpassLo,pixflags,coverage,mosaic_id,related_products,data_PID
https://vo.astron.nl/getproduct/LoTSS-DR2/P007%2B39,image/fits,708690240,7.56236,38.5208,P007+39_mosaic-blanked.fits,LOFAR.HBA,58093.6343981479,2,[9412 9412],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4706.0 4706.0],[7.56236 38.5208],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[10.002932398 36.5339775432 10.1396022574 40.4545359062 4.98457005459 40.4545242225 5.12126891851 36.5339664788],P007+39,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P007%2B39,21.12136/e340fec7-d091-49f4-8b98-d995594e482a
https://vo.astron.nl/getproduct/LoTSS-DR2/P007%2B41,image/fits,706584960,7.95206,41.034,P007+41_mosaic-blanked.fits,LOFAR.HBA,58684.9945370369,2,[9398 9398],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4699.0 4699.0],[7.95206 41.034],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[10.47341 39.0478214371 10.6279339694 42.9622660214 5.27561659538 42.9622532344 5.43017339784 39.047809388],P007+41,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P007%2B41,21.12136/0be4b5b1-d6bc-48ed-a564-59b4cfa90dc4
https://vo.astron.nl/getproduct/LoTSS-DR2/P009%2B36,image/fits,618117120,9.74076,36.0298,P009+36_mosaic-blanked.fits,LOFAR.HBA,57777.5,2,[8790 8790],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4395.0 4395.0],[9.74076 36.0298],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[11.9543384768 34.1778388794 12.0596909495 37.8395551189 7.42130132499 37.839545191 7.52667774818 34.1778294023],P009+36,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P009%2B36,21.12136/31c5461c-ed91-4b3b-91be-0e633ae31fa7
https://vo.astron.nl/getproduct/LoTSS-DR2/P010%2B34,image/fits,637392960,10.4901,33.5265,P010+34_mosaic-blanked.fits,LOFAR.HBA,57682.764675926,2,[8926 8926],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4463.0 4463.0],[10.4901 33.5265],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[12.6745619838 31.6474190715 12.7705683621 35.3659612374 8.20912054035 35.3659520694 8.30514841512 31.6474102893],P010+34,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P010%2B34,21.12136/2cb4011b-9050-4db2-bd27-5c4ba06fcbd0
https://vo.astron.nl/getproduct/LoTSS-DR2/P010%2B39,image/fits,682729920,10.8719,38.5495,P010+39_mosaic-blanked.fits,LOFAR.HBA,58184.3736342592,2,[9238 9238],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4619.0 4619.0],[10.8719 38.5495],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[13.2693626725 36.5998656454 13.4012075571 40.44795892 8.34204481261 40.4479474468 8.47391820633 36.5998547699],P010+39,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P010%2B39,21.12136/8412510a-f325-4ffe-a1bb-e91b3cdb3662
https://vo.astron.nl/getproduct/LoTSS-DR2/P011%2B41,image/fits,678303360,11.3849,41.0638,P011+41_mosaic-blanked.fits,LOFAR.HBA,58821.6539930557,2,[9208 9208],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4604.0 4604.0],[11.3849 41.0638],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[13.8577043089 39.1183180335 14.0062586265 42.9536504216 8.76297202091 42.9536378881 8.9115585567 39.1183062097],P011+41,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P011%2B41,21.12136/7d9c3cb3-01bb-458a-891d-0f3639636701
https://vo.astron.nl/getproduct/LoTSS-DR2/P012%2B36,image/fits,637392960,12.9424,36.0576,P012+36_mosaic-blanked.fits,LOFAR.HBA,57664.8131365739,2,[8926 8926],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4463.0 4463.0],[12.9424 36.0576],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[15.1902201906 34.1766269679 15.2990112175 37.8949904011 10.5852606565 37.894980305 10.6940760377 34.1766173376],P012+36,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P012%2B36,21.12136/45a10267-6b9c-48a5-8731-f8c8c63d59c1
https://vo.astron.nl/getproduct/LoTSS-DR2/P013%2B34,image/fits,657253440,13.5969,33.5535,P013+34_mosaic-blanked.fits,LOFAR.HBA,57777.5,2,[9064 9064],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4532.0 4532.0],[13.5969 33.5535],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[15.8151020201 31.6450287842 15.9142360232 35.4210592719 11.2790525257 35.4210499489 11.378208387 31.6450198598],P013+34,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P013%2B34,21.12136/24803249-b1ca-4e0f-9d4a-3fa72b677388
https://vo.astron.nl/getproduct/LoTSS-DR2/P014%2B39,image/fits,657544320,14.1827,38.5783,P014+39_mosaic-blanked.fits,LOFAR.HBA,58093.6343981479,2,[9066 9066],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4533.0 4533.0],[14.1827 38.5783],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[16.5374931581 36.6654102512 16.6646500711 40.4418702545 11.7002023521 40.4418589894 11.8273872839 36.6653995628],P014+39,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P014%2B39,21.12136/f1b0dbeb-755a-4544-8173-b89d067ba691
https://vo.astron.nl/getproduct/LoTSS-DR2/P014%2B41,image/fits,651176640,14.8192,41.0939,P014+41_mosaic-blanked.fits,LOFAR.HBA,58024.7814930556,2,[9022 9022],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4511.0 4511.0],[14.8192 41.0939],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[17.2444230963 39.1882369465 17.3872458718 42.9461206761 12.2505848479 42.9461083904 12.3934392394 39.1882253437],P014+41,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P014%2B41,21.12136/eb1a1aa0-0af5-4b8b-aea5-cd22af6fc89b
https://vo.astron.nl/getproduct/LoTSS-DR2/P016%2B34,image/fits,678006720,16.7027,33.5802,P016+34_mosaic-blanked.fits,LOFAR.HBA,57608.9615046298,2,[9206 9206],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4603.0 4603.0],[16.7027 33.5802],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[18.9555925284 31.6414762391 19.0579961868 35.4766609515 14.3468920043 35.4766514689 14.4493178926 31.6414671685],P016+34,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P016%2B34,21.12136/fe723222-1f3d-46ae-b631-421b57a07e73
https://vo.astron.nl/getproduct/LoTSS-DR2/P016%2B36,image/fits,657253440,16.1452,36.0854,P016+36_mosaic-blanked.fits,LOFAR.HBA,58045.7833912037,2,[9064 9064],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4532.0 4532.0],[16.1452 36.0854],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[18.4277539073 34.1749771588 18.5400932384 37.9508201075 13.7497782311 37.9508098403 13.862142327 34.1749673729],P016+36,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P016%2B36,21.12136/780f41cd-4932-440c-a6ed-9aad88b751fa
https://vo.astron.nl/getproduct/LoTSS-DR2/P017%2B39,image/fits,633683520,17.4949,38.6069,P017+39_mosaic-blanked.fits,LOFAR.HBA,58175.4349074075,2,[8900 8900],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4450.0 4450.0],[17.4949 38.6069],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[19.8084711023 36.7294576034 19.9311829346 40.436782099 15.0580695339 40.4367710344 15.1808089111 36.7294470959],P017+39,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P017%2B39,21.12136/ff8af604-1055-48f6-b7e4-8e54f897ad7f
https://vo.astron.nl/getproduct/LoTSS-DR2/P018%2B41,image/fits,625734720,18.2552,41.1233,P018+41_mosaic-blanked.fits,LOFAR.HBA,58377.8846296296,2,[8844 8844],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4422.0 4422.0],[18.2552 41.1233],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[20.6348241567 39.2557240967 20.7722639439 42.9394885212 15.7375668397 42.9394764726 15.8750376657 39.2557127056],P018+41,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P018%2B41,21.12136/51b88612-4879-469b-9cec-3c018c2cffe0
https://vo.astron.nl/getproduct/LoTSS-DR2/P019%2B34,image/fits,699684480,19.8105,33.607,P019+34_mosaic-blanked.fits,LOFAR.HBA,57689.7747800928,2,[9352 9352],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4676.0 4676.0],[19.8105 33.607],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[22.0990420063 31.6371602057 22.204864008 35.5331649693 17.4156238182 35.5331553223 17.5214684325 31.6371509848],P019+34,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P019%2B34,21.12136/7bb415fc-734a-483f-b02d-f00ffc236a15
https://vo.astron.nl/getproduct/LoTSS-DR2/P019%2B36,image/fits,678006720,19.3491,36.113,P019+36_mosaic-blanked.fits,LOFAR.HBA,57897.1662384258,2,[9206 9206],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4603.0 4603.0],[19.3491 36.113],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[21.6673659028 34.1722623732 21.7834153492 38.0072501814 16.9142557102 38.007239738 17.0303303436 34.1722524274],P019+36,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P019%2B36,21.12136/e256708f-b460-411c-9491-d47eb6210d68
https://vo.astron.nl/getproduct/LoTSS-DR2/P020%2B39,image/fits,611104320,20.8091,38.6355,P020+39_mosaic-blanked.fits,LOFAR.HBA,58045.7833912037,2,[8740 8740],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4370.0 4370.0],[20.8091 38.6355],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[23.0829080066 36.7922091453 23.2014106851 40.4328960056 18.4162418186 40.4328851343 18.5347715855 36.7921988121],P020+39,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P020%2B39,21.12136/bfebc124-2d91-40e2-bfe6-e4e62e79cffb
https://vo.astron.nl/getproduct/LoTSS-DR2/P021%2B41,image/fits,601079040,21.6926,41.1529,P021+41_mosaic-blanked.fits,LOFAR.HBA,58473.6361111109,2,[8668 8668],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4334.0 4334.0],[21.6926 41.1529],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[24.0270730089 39.3229649431 24.1592880891 42.9334411945 19.2253427529 42.9334293804 19.3575883002 39.3229537619],P021+41,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P021%2B41,21.12136/bca38461-8723-45c7-8335-23b84c7db9a7
https://vo.astron.nl/getproduct/LoTSS-DR2/P022%2B34,image/fits,722004480,22.9192,33.6338,P022+34_mosaic-blanked.fits,LOFAR.HBA,57684.8597222222,2,[9500 9500],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4750.0 4750.0],[22.9192 33.6338],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[25.2438678953 31.6324059932 25.3532151838 35.5900634199 20.484672274 35.590053606 20.5940425635 31.63239662],P022+34,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P022%2B34,21.12136/859de79e-c1eb-4276-acc3-a225993ea652
https://vo.astron.nl/getproduct/LoTSS-DR2/P022%2B36,image/fits,699684480,22.5542,36.1406,P022+36_mosaic-blanked.fits,LOFAR.HBA,57898.1815277776,2,[9352 9352],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4676.0 4676.0],[22.5542 36.1406],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[24.9091603751 34.1686814447 25.0290881816 38.0644793603 20.0787824607 38.0644687355 20.1987358884 34.1686713346],P022+36,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P022%2B36,21.12136/c62d64f4-13d6-4090-be89-4f112e1d1a41
https://vo.astron.nl/getproduct/LoTSS-DR2/P024%2B39,image/fits,589210560,24.1232,38.6639,P024+39_mosaic-blanked.fits,LOFAR.HBA,58175.4349074075,2,[8582 8582],[0.000416667 0.000416667],ICRS,2000.0,SIN,[4291.0 4291.0],[24.1232 38.6639],[-0.000416667 0.0 0.0 0.000416667],120-168MHz,m,2.08189,2.49827,1.78448,Z,[26.3576859485 36.8543204254 26.4720994763 40.4292017444 21.7737530609 40.429191064 21.8881932252 36.8543102649],P024+39,https://vo.astron.nl/lotss_dr2/q/dlmosaic/dlmeta?ID=ivo%3A//astron.nl/%7E%3FLoTSS-DR2/P024%2B39,21.12136/01b42438-d809-4f3a-b5c2-3c7b2b7abda1
